id;Brand;Model;Generation;Version;Year from;Year to;Length;Width;Height;Wheel Base;Petrol min cap;Petrol max cap;Petrol min hp;Petrol max hp;Diesel min cap;Diesel max cap;Diesel min hp;Diesel max hp;Avg weight;price;Category
112;chevrolet;aveo;aveo 2 (2011 - present);aveo t300;none;none;439.9;173.5;151.7;252.5;1229;1598;69;116;0;0;0;0;1205.0;14594.90625;B
203;citroen;ds3;none;none;none;none;394.8;171.5;145.8;246.4;1199;1598;82;203;0;0;0;0;1205.0;24885.25;B
226;dacia;logan;i;none;2004;2012;425.0;174.2;152.5;263.0;1390;1598;75;105;1461;1461;68;68;1082.5;25171.75;B
267;fiat;500l;500l 2018 (2017 - present);500l urban;none;none;424.2;178.4;165.8;261.2;875;1368;95;105;1248;1598;95;120;1392.5;36890.3125;B
161;citroen;c3;c3 3th gen. - 2020 facelift (2020 - present);c3 2020;none;none;399.6;174.9;147.4;254.0;1199;1199;83;110;1499;1499;102;102;1114.0;39841.21875;B
162;citroen;c3;c3 3th gen. (2016 - present);c3 iii;none;none;399.6;174.9;147.4;254.0;1199;1199;68;110;0;0;0;0;1110.0;48884.96875;B
165;citroen;c3;c3 1 (2002 - 2009);c3;2002;2009;385.0;166.7;151.9;246.0;1124;1587;61;110;0;0;0;0;1135.0;9132.75;B
98;bmw;seria-2;f44 / g42 / u06 (2020 - present);g42 2 series coupe;none;none;453.7;183.8;139.0;274.1;1998;2998;184;374;1995;1995;190;190;1674.0;95274.28125;B
99;bmw;seria-2;f44 / g42 / u06 (2020 - present);g87 m2 coupe;none;none;458.0;188.7;140.3;274.7;2993;2993;460;460;0;0;0;0;1787.5;301147.09375;B
103;bmw;seria-2;f22 / f23 / f45 / f46 / f87 lci (2017 - 2021);f45 lci 2 series active tourer;2017;2021;435.4;180.0;155.5;267.0;1499;1998;109;231;0;0;0;0;1480.0;95274.28125;B
107;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f23 2 series cabrio;2014;2017;443.2;177.4;141.3;269.0;1499;2998;136;340;0;0;0;0;1662.5;95274.28125;B
108;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f45 2 series active tourer;2014;2017;434.2;180.0;155.5;267.0;1499;1998;136;231;0;0;0;0;1565.0;95274.28125;B
109;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f46 2 series gran tourer;2014;2017;455.6;180.0;160.8;278.0;1499;1998;136;192;0;0;0;0;1555.0;95274.28125;B
110;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f87 m2;2014;2017;446.8;185.4;141.0;269.3;2979;2979;370;370;0;0;0;0;1582.5;95274.28125;B
12;audi;a1;type 8x - 2015 restyling (2015 - 2018);a1 2015;2015;2018;397.3;174.0;141.6;246.9;1395;1984;125;231;0;0;0;0;1272.5;47979.65625;B
13;audi;a1;type 8x - 2015 restyling (2015 - 2018);a1 2015 sportback;2015;2018;397.3;174.6;142.2;246.9;1395;1984;125;231;0;0;0;0;1297.5;47979.65625;B
14;audi;a1;type 8x (2010 - 2014);a1;2010;2014;395.4;174.0;141.6;246.9;1197;1984;86;256;0;0;0;0;1290.0;47979.65625;B
159;citroen;c2;none;none;2004;2009;366.6;165.9;146.1;231.5;1124;1587;60;125;1398;1398;70;70;1022.5;8064.5625;B
1;alfa-romeo;147;none;none;none;none;422.3;172.9;144.2;254.6;1598;3179;105;250;1910;1910;100;170;1320.2;7629.3125;C
18;audi;a3;8v;none;2012;2016;423.7;177.7;142.1;260.1;1197;1984;102;300;1598 ;1968 ;105;184;1320.2;61821.78125;C
188;citroen;c4-picasso;c4 picasso 2 (2013 - 2018);c4 picasso 2017;2013;2018;443.8;182.6;161.0;278.5;1199;1598;110;165;1560;1997;99;150;1432.5;40494.0;C
222;dacia;duster;ii;duster 2 phase 1;None;none;434.1;180.4;169.3;267.4;999;1330;92;150;0;0;0;0;1306.5;55250.625;C
226;dacia;logan;i;none;2004;2012;425.0;174.2;152.5;263.0;1390;1598;75;105;1461;1461;68;68;1082.5;25171.75;C
278;fiat;bravo;bravo 2 (2007 - 2014);bravo 2;none;none;433.6;179.2;149.8;260.0;1368;1368;90;140;0;0;0;0;1082.5;15777.75;C
320;fiat;tipo;tipo 2 (2015 - 2020);tipo 5-door;2015;2020;436.8;179.2;149.5;263.8;1368;1368;95;120;1248;1598;95;120;1407.5;53996.875;C
341;ford;focus;mk1;1998;2004;none;417.0;170.0;143.0;262.0;1388;1989;75;130;0;0;0;0;1196.0;4551.1875;C
152;citroen;berlingo;berlingo 3 (2018 - present);berlingo iii mpv;none;none;440.3;184.8;180.0;278.5;1199;1199;110;130;1499;1499;100;130;1553.5;77853.71875;C
211;citroen;xsara-picasso;none;none;1997;2006;427.6;175.1;163.7;276.0;1587;1997;90;136;0;0;0;0;1312.5;7637.03125;C
223;dacia;jogger;none;none;2021;2022;454.7;178.4;163.2;289.7;999;999;110;110;0;0;0;0;1282.0;85358.28125;C
233;dodge;caliber;none;none;2006;2011;441.5;180.0;153.5;263.5;1789;1998;150;156;1968;1968;140;140;1347.5;17368.34375;C
352;ford;maverick;maverick (1993 - 1999);maverick lwb;1993;1999;458.0;174.0;181.0;265.0;2389;2389;118;124;2663;2664;101;125;1785.0;47985.11111111111;C
204;citroen;ds4;none;none;none;none;427.5;181.0;152.6;261.2;1199;1598;120;200;0;0;0;0;1387.5;35668.03125;C
19;audi;a3;8p;none;2003;2013;421.4;176.5;142.1;257.8;1197;3189;102;250;1598;1968;105;170;1372.5;21133.9375;C
8;alfa-romeo;tonale;none;none;2016;2022;468.7;190.3;166.6;281.8;1995;2891;200;510;0;0;0;0;1800.0;184332.8125;C
4;alfa-romeo;giulietta;giulietta (tipo 940) (2010 - 2020);giulietta ii;2010;2020;435.1;179.8;146.5;263.4;1368;1742;105;241;0;0;0;0;1382.5;34468.6875;C
149;chrysler;pt-cruiser;none;none;2000;2011;428.8;170.4;160.1;261.6;1996;1996;140;140;2148;2148;150;150;1500.0;7711.5625;C
21;audi;a4;b9;none;2015;2018;472.6;184.2;142.7;282.0;1395;2995;150;354;1968;2967;122;272;1500;120986.3125;D
23;audi;a4; b7;none;2004;2008;458.6;177.2;142.7;264.8;1596;4163;102;420;1896;2967;115;233;1500;19896.03125;D
24;audi;a4;b6;none;2000;2006;454.7;176.6;143.0;265.0;1595;4163;102;344;1896;2496;100;180;1500;12773.46875;D
25;audi;a4;b5;none;1994;2001;448.0;173.0;142.0;262.0;1595;2771;101;265;1896;2496;75;150;1500;8826.5;D
7;alfa-romeo;stelvio;none;none;2016;2022;468.7;190.3;166.6;281.8;1995;2891;200;510;0;0;0;0;1800.0;144953.34375;D
2;alfa-romeo;159;none;none;2005;2011;466.0;182.8;141.7;270.0;1742;3195;140;260;1910;2387;120;200;1530.0;16645.28125;D
194;citroen;c5;c5 2 (2008 - 2017);c5 ii;2008;2017;477.9;186.0;145.8;281.5;1598;2946;125;211;1560;2993;109;241;1693.5;20693.09375;D
196;citroen;c5;c5 2 (2008 - 2017);c5 ii tourer;none;none;482.9;186.0;149.5;281.5;1598;1598;156;156;1560;2993;109;241;1693.5;20693.09375;D
197;citroen;c5;c5 1 (2000 - 2007);c5;2000;2007;474.5;178.0;147.6;275.0;1749;2946;117;207;1560;2179;90;173;1434.5;20693.09375;D
53;audi;q7;q7 ii (2015 - present);q7 2020;none;none;506.3;197.0;174.1;299.4;2995;3996;340;507;2967;3956;231;435;2359.0;261398.53125;E
73;audi;s7;c7;none;2011;2018;496.9;191.1;142.0;291.4;2773;3993;204;560;2967;2967;204;313;1882.5;262902.125;E
78;bentley;continental-gt;none;none;2003;2011;480.4;196.5;139.0;274.5;5998;5998;560;610;0;0;0;0;2350.0;507012.375;E
237;dodge;charger;charger lx (2006 - 2010);charger (lx) i;2006;2010;508.3;189.2;147.8;304.8;2736;6059;193;431;0;0;0;0;1791.5;145554.5;E
249;dodge;durango;none;none;none;none;510.1;192.4;178.2;304.2;3604;6417;297;720;0;0;0;0;2387.0;140993.6875;E
146;chrysler;gs;300c i (2003 - 2010);300c;2003;2010;501.5;188.0;147.5;305.0;2736;6059;193;431;2987;2987;218;218;1886.5;38690.5625;E
147;chrysler;gs;300c i (2003 - 2010);300c touring;2003;2010;501.5;188.0;147.5;305.0;2736;6059;193;431;2987;2987;218;218;1951.0;38690.5625;E
